year,oscar,name,won,gross,gross per day,playdays,release date,
2012,BEST PICTURE,Amour,0,,,,2012-12-19 00:00:00,
2012,BEST PICTURE,Argo,1,136024128,697559,195,2012-10-12 00:00:00,
2012,BEST PICTURE,Beasts of the Southern Wild,0,12795746,47745,268,2012-06-27 00:00:00,
2012,BEST PICTURE,Django Unchained,0,162805434,1138499,143,2012-12-25 00:00:00,
2012,BEST PICTURE,Les Misérables,0,,,,,
2012,BEST PICTURE,Life of Pi,0,124987023,506020,247,2012-11-21 00:00:00,
2012,BEST PICTURE,Lincoln,0,181591780,1365351,133,2012-11-09 00:00:00,
2012,BEST PICTURE,Silver Linings Playbook,0,132092958,650704,203,2012-11-16 00:00:00,
2012,BEST PICTURE,Zero Dark Thirty,0,95720716,929327,103,2012-12-19 00:00:00,
2013,BEST PICTURE,American Hustle,0,150117807,1305372,115,2013-12-13 00:00:00,
2013,BEST PICTURE,Captain Phillips,0,107100855,748957,143,2013-10-11 00:00:00,
2013,BEST PICTURE,Dallas Buyers Club,0,27298285,149990,182,2013-11-01 00:00:00,
2013,BEST PICTURE,Gravity,0,274092705,1263100,217,2013-10-04 00:00:00,
2013,BEST PICTURE,Her,0,,,,,
2013,BEST PICTURE,Nebraska,0,17654912,140118,126,2013-11-15 00:00:00,
2013,BEST PICTURE,Philomena,0,37709979,207197,182,2013-11-22 00:00:00,
2013,BEST PICTURE,12 Years a Slave,1,56634802,299655,189,2013-10-18 00:00:00,
2013,BEST PICTURE,The Wolf of Wall Street,0,116900694,1169006,100,2013-12-25 00:00:00,
2014,BEST PICTURE,American Sniper,0,350126372,1913258,183,2014-12-25 00:00:00,
2014,BEST PICTURE,Birdman or (The Unexpected Virtue of Ignorance),1,,,,,
2014,BEST PICTURE,Boyhood,0,22153916,316484,70,2014-07-11 00:00:00,
2014,BEST PICTURE,The Grand Budapest Hotel,0,58973476,421239,140,2014-03-07 00:00:00,
2014,BEST PICTURE,The Imitation Game,0,91125683,542414,168,2014-11-28 00:00:00,
2014,BEST PICTURE,Selma,0,52076908,460857,113,2014-12-25 00:00:00,
2014,BEST PICTURE,The Theory of Everything,0,35753877,268826,133,2014-11-07 00:00:00,
2014,BEST PICTURE,Whiplash,0,,,,2014-10-10 00:00:00,
2000,BEST PICTURE,Chocolat,0,,,,2000-12-15 00:00:00,
2000,BEST PICTURE,Crouching Tiger Hidden Dragon,0,,,,2000-12-08 00:00:00,
2000,BEST PICTURE,Erin Brockovich,0,,,,2000-03-17 00:00:00,
2000,BEST PICTURE,Gladiator,1,,,,2000-05-05 00:00:00,
2000,BEST PICTURE,Traffic,0,,,,2000-12-27 00:00:00,
2001,BEST PICTURE,A Beautiful Mind,1,170742341,1060511,161,2001-12-21 00:00:00,
2001,BEST PICTURE,Gosford Park,0,25767044,468491,55,2001-12-26 00:00:00,
2001,BEST PICTURE,In the Bedroom,0,23224195,263911,88,2001-11-23 00:00:00,
2001,BEST PICTURE,The Lord of the Rings: The Fellowship of the Ring,0,313364114,1289564,243,2001-12-19 00:00:00,
2001,BEST PICTURE,Moulin Rouge,0,,,,,
2002,BEST PICTURE,Chicago,1,167440667,1170913,143,2002-12-27 00:00:00,
2002,BEST PICTURE,Gangs of New York,0,77726642,571519,136,2002-12-20 00:00:00,
2002,BEST PICTURE,The Hours,0,41608003,283047,147,2002-12-27 00:00:00,
2002,BEST PICTURE,The Lord of the Rings: The Two Towers,0,339785181,1375648,247,2002-12-18 00:00:00,
2002,BEST PICTURE,The Pianist,0,32198948,226753,142,2002-12-25 00:00:00,
2003,BEST PICTURE,The Lord of the Rings: The Return of the King,1,377027325,2217807,170,2003-12-17 00:00:00,
2003,BEST PICTURE,Lost in Translation,0,43217012,263518,164,2003-09-12 00:00:00,
2003,BEST PICTURE,Master and Commander: The Far Side of the World,0,93921256,536692,175,2003-11-14 00:00:00,
2003,BEST PICTURE,Mystic River,0,90135191,393603,229,2003-10-08 00:00:00,
2003,BEST PICTURE,Seabiscuit,0,120170960,903541,133,2003-07-25 00:00:00,
2004,BEST PICTURE,The Aviator,0,101270465,1002677,101,2004-12-17 00:00:00,
2004,BEST PICTURE,Finding Neverland,0,49590262,431219,115,2004-11-12 00:00:00,
2004,BEST PICTURE,Million Dollar Baby,1,100434592,567427,177,2004-12-15 00:00:00,
2004,BEST PICTURE,Ray,0,75331600,538082,140,2004-10-29 00:00:00,
2004,BEST PICTURE,Sideways,0,71500193,352217,203,2004-10-22 00:00:00,
2005,BEST PICTURE,Brokeback Mountain,0,82742798,738774,112,2005-12-09 00:00:00,
2005,BEST PICTURE,Capote,0,28028008,160160,175,2005-09-30 00:00:00,
2005,BEST PICTURE,Crash,1,54580300,173270,315,2005-05-06 00:00:00,
2005,BEST PICTURE,Good Night and Good Luck.,0,31558003,196012,161,2005-10-07 00:00:00,
2005,BEST PICTURE,Munich,0,47403685,483711,98,2005-12-23 00:00:00,
2006,BEST PICTURE,Babel,0,34302837,222745,154,2006-10-27 00:00:00,
2006,BEST PICTURE,The Departed,1,132384315,788001,168,2006-10-06 00:00:00,
2006,BEST PICTURE,Letters from Iwo Jima,0,13756082,107469,128,2006-12-20 00:00:00,
2006,BEST PICTURE,Little Miss Sunshine,0,59889703,249540,240,2006-07-26 00:00:00,
2006,BEST PICTURE,The Queen,0,55885355,321180,174,2006-09-30 00:00:00,
2007,BEST PICTURE,Atonement,0,50927067,404183,126,2007-12-07 00:00:00,
2007,BEST PICTURE,Juno,0,143454918,843852,170,2007-12-05 00:00:00,
2007,BEST PICTURE,Michael Clayton,0,49033882,291868,168,2007-10-05 00:00:00,
2007,BEST PICTURE,No Country for Old Men,1,74223625,519046,143,2007-11-09 00:00:00,
2007,BEST PICTURE,There Will Be Blood,0,40222514,314238,128,2007-12-26 00:00:00,
2008,BEST PICTURE,The Curious Case of Benjamin Button,0,127509326,1062577,120,2008-12-25 00:00:00,
2008,BEST PICTURE,Frost/Nixon,0,18622031,166268,112,2008-12-05 00:00:00,
2008,BEST PICTURE,Milk,0,31841299,224234,142,2008-11-26 00:00:00,
2008,BEST PICTURE,The Reader,0,34194407,220609,155,2008-12-10 00:00:00,
2008,BEST PICTURE,Slumdog Millionaire,1,141313054,739858,191,2008-11-12 00:00:00,
2009,BEST PICTURE,Avatar,0,749766139,3204128,234,2009-12-18 00:00:00,
2009,BEST PICTURE,The Blind Side,0,255951749,1406328,182,2009-11-20 00:00:00,
2009,BEST PICTURE,District 9,0,115646235,1445577,80,2009-08-14 00:00:00,
2009,BEST PICTURE,An Education,0,,,,2009-10-09 00:00:00,
2009,BEST PICTURE,The Hurt Locker,1,12671105,86197,147,2009-06-26 00:00:00,
2009,BEST PICTURE,Inglourious Basterds,0,120540719,1012947,119,2009-08-21 00:00:00,
2009,BEST PICTURE,Precious: Based on the Novel 'Push' by Sapphire,0,,,,,
2009,BEST PICTURE,A Serious Man,0,9228768,94171,98,2009-10-02 00:00:00,
