boxOfficeId;total_gross;gross_per_day
102dalmatians;97468977,59;849116,24
127hours;97468977,59;849116,24
21grams;97468977,59;849116,24
abetterlife;1759252;25132
aboutaboy;97468977,59;849116,24
aboutschmidt;97468977,59;849116,24
acrosstheuniverse;97468977,59;849116,24
affairofthenecklace;97468977,59;849116,24
afterthewedding;97468977,59;849116,24
ai;97468977,59;849116,24
ajami;97468977,59;849116,24
albertnobbs;97468977,59;849116,24
ali;97468977,59;849116,24
allislost;97468977,59;849116,24
almostfamous;97468977,59;849116,24
americangangster;130164645;1430380
americansniper;350126372;1913258
americansplendor;5604002;93400
amoresperros;97468977,59;849116,24
amour;97468977,59;849116,24
aneducation;97468977,59;849116,24
animalkingdom;97468977,59;849116,24
annakarenina2012;12816367;122060
anonymous;4463292;99184
anotheryear;97468977,59;849116,24
apocalypto;50300345;898220
argo;136024128;697559
aroyalaffair;97468977,59;849116,24
artist;44671682;212722
aseperation;97468977,59;849116,24
atonement;50927067;404183
augustosagecounty;37738810;283750
australia;49534424;462938
avatar;749766139;3204128
avengers11;621623219;4673858
aviator;101270465;1002677
awayfromher;4571521;59370
baadermeinhofcomplex;97468977,59;849116,24
babel;34302837;222745
barbarianinvasions;216456;15461
batmanbegins;205343774;1487998
beastsofthesouthernwild;12795746;47745
beaufort;97468977,59;849116,24
beautifulmind;170742341;1060511
beforemidnight;71400;71400
beforenightfalls;97468977,59;849116,24
beforesunset;5802923;48764
beginners;5790894;59090
beingjulia;392702;39270
billyelliot;97468977,59;849116,24
binladen;95720716;929327
biutiful;5101237;38355
blackdahlia;22545080;536787
blackhawkdown;108264894;1244424
blackswan;106950757;727556
blindside;255951749;1406328
blooddiamond;57377916;455380
bluejasmine;28393495;507026
bluevalentine;9706328;85143
bond23;304164760;2816340
bourneultimatum;227471070;1911521
boyhood;22153916;316484
bridgetjonessdiary;97468977,59;849116,24
brightstar;4444637;51681
brokebackmountain;82742798;738774
bullhead;97468977,59;849116,24
capote;28028008;160160
captainphillips;107100855;748957
castaway;97468977,59;849116,24
catchmeifyoucan;164558699;1256173
cell;97468977,59;849116,24
changeling08;35739802;464153
charliechocolate;206459076;1404483
charliewilsonswar;66661095;865728
chicago;167440667;1170913
childrenofmen;35327768;436145
chocolat;97468977,59;849116,24
cinderellaman;61649911;326190
cityofgod;4667761;17288
class08;97468977,59;849116,24
click;137340146;1461065
closer;33987757;465585
coldmountain;94688000;1154731
collateral;100170152;1431002
constantgardener;32109493;683180
contender;97468977,59;849116,24
cooler;3751701;68212
counterfeiters;97468977,59;849116,24
crash05;54580300;173270
crazyheart;39458875;242078
crouchingtigerhiddendragon;97468977,59;849116,24
curiouscaseofbenjaminbutton;127509326;1062577
curseofthegoldenflower;6108441;169678
dallasbuyersclub;27298285;149990
darkknight;533345358;2308854
davido2013;150117807;1305372
dawnoftheapes;208490841;1654689
departed;132384315;788001
departures;97468977,59;849116,24
descendents;82584160;529385
devilwearsprada;124724787;809901
dirtyprettythings;7718288;87707
district9;115646235;1445577
dividedwefall;97468977,59;849116,24
divingbellandthebutterfly;5021124;59775
djangounchained;162805434;1138499
dogtooth;97468977,59;849116,24
donttell;29015;2072
doubt;33446470;281062
downfall;4159168;70494
dreamgirls;103365956;820364
duchess;13848978;164868
easternpromises;17181265;350638
eastwood09;37491364;357060
elcrimendelpadreamaro;97468977,59;849116,24
elling;97468977,59;849116,24
erinbrockovich;97468977,59;849116,24
eternalsunshine;33745508;421818
extremelyloud;31847881;331748
fellowshipofthering;313364114;1289564
fighter10;93617009;835866
findingnemo;335299448;2890512
findingneverland;49590262;431219
flagsofourfathers;33602376;600042
flight;93772375;893070
footnote;97468977,59;849116,24
foxcatcher;97468977,59;849116,24
frida;12465376;377738
frostnixon;18622031;166268
frozenriver;97468977,59;849116,24
gangsofnewyork;77726642;571519
ghostworld;97468977,59;849116,24
girlwithapearlearring;7663000;111057
girlwiththedragontattoo;97468977,59;849116,24
gladiator;97468977,59;849116,24
goldenage;16285240;332351
goldencompass;68530210;1398575
gonebabygone;20058143;358181
gonegirl;167762331;1198302
goodnightandgoodluck;31558003;196012
goodshepherd;59908565;778033
gosfordpark;25767044;468491
grandbudapesthotel;58973476;421239
grandmasters;6594959;104681
gravity;274092705;1263100
