year;oscar;name;won;gross;gross per day;playdays in year;release date;;;anteil win/max;Kehrwert
2000;BEST PICTURE;Chocolat;False;;;15;15.12.2000 00:00;;;;
2000;BEST PICTURE;Crouching Tiger Hidden Dragon;False;;;22;08.12.2000 00:00;;;;
2000;BEST PICTURE;Erin Brockovich;False;;;288;17.03.2000 00:00;;;;
2000;BEST PICTURE;Gladiator;True;;;239;05.05.2000 00:00;;;;
2000;BEST PICTURE;Traffic;False;;;3;27.12.2000 00:00;;;;
2001;BEST PICTURE;A Beautiful Mind;True;170742341;17074234;10;21.12.2001 00:00;;;;
2001;BEST PICTURE;Gosford Park;False;25767044;5153408;5;26.12.2001 00:00;;;;
2001;BEST PICTURE;In the Bedroom;False;23224195;611163;38;23.11.2001 00:00;;;;
2001;BEST PICTURE;The Lord of the Rings: The Fellowship of the Ring;False;313364114;26113676;12;19.12.2001 00:00;;;;
2001;BEST PICTURE;Moulin Rouge;False;;;;;;;0,6538;0,3462
2002;BEST PICTURE;Chicago;True;3139773;784943;4;27.12.2002 00:00;;;;
2002;BEST PICTURE;Gangs of New York;False;34323147;3120286;11;20.12.2002 00:00;;;;
2002;BEST PICTURE;The Hours;False;507315;126828;4;27.12.2002 00:00;;;;
2002;BEST PICTURE;The Lord of the Rings: The Two Towers;False;218595905;16815069;13;18.12.2002 00:00;;;;
2002;BEST PICTURE;The Pianist;False;190000;31666;6;25.12.2002 00:00;;;0,0467;0,9533
2003;BEST PICTURE;The Lord of the Rings: The Return of the King;True;249445927;17817566;14;17.12.2003 00:00;;;;
2003;BEST PICTURE;Lost in Translation;False;43217012;392881;110;12.09.2003 00:00;;;;
2003;BEST PICTURE;Master and Commander: The Far Side of the World;False;81531748;1734718;47;14.11.2003 00:00;;;;
2003;BEST PICTURE;Mystic River;False;53765605;640066;84;08.10.2003 00:00;;;;
2003;BEST PICTURE;Seabiscuit;False;120170960;755792;159;25.07.2003 00:00;;;1;0
2004;BEST PICTURE;The Aviator;False;24089000;1853000;13;17.12.2004 00:00;;;;
2004;BEST PICTURE;Finding Neverland;False;22870000;476458;48;12.11.2004 00:00;;;;
2004;BEST PICTURE;Million Dollar Baby;True;842253;56150;15;15.12.2004 00:00;;;;
2004;BEST PICTURE;Ray;False;71278355;1149650;62;29.10.2004 00:00;;;;
2004;BEST PICTURE;Sideways;False;20868408;302440;69;22.10.2004 00:00;;;0,0303;0,9697
2005;BEST PICTURE;Brokeback Mountain;False;;;22;09.12.2005 00:00;;;;
2005;BEST PICTURE;Capote;False;28028008;304652;92;30.09.2005 00:00;;;;
2005;BEST PICTURE;Crash;True;54580300;228369;239;06.05.2005 00:00;;;;
2005;BEST PICTURE;Good Night and Good Luck.;False;23443621;275807;85;07.10.2005 00:00;;;;
2005;BEST PICTURE;Munich;False;;;8;23.12.2005 00:00;;;0,7496;0,2504
2006;BEST PICTURE;Babel;False;19825138;305002;65;27.10.2006 00:00;;;;
2006;BEST PICTURE;The Departed;True;120359613;1399530;86;06.10.2006 00:00;;;;
2006;BEST PICTURE;Letters from Iwo Jima;False;316369;28760;11;20.12.2006 00:00;;;;
2006;BEST PICTURE;Little Miss Sunshine;False;59489083;376513;158;26.07.2006 00:00;;;;
2006;BEST PICTURE;The Queen;False;28196606;306484;92;30.09.2006 00:00;;;1;0
2007;BEST PICTURE;Atonement;False;12038713;501613;24;07.12.2007 00:00;;;;
2007;BEST PICTURE;Juno;False;27926452;1074094;26;05.12.2007 00:00;;;;
2007;BEST PICTURE;Michael Clayton;False;39148591;449983;87;05.10.2007 00:00;;;;
2007;BEST PICTURE;No Country for Old Men;True;41620037;800385;52;09.11.2007 00:00;;;;
2007;BEST PICTURE;There Will Be Blood;False;363515;72703;5;26.12.2007 00:00;;;0,7452;0,2548
2008;BEST PICTURE;The Curious Case of Benjamin Button;False;52666148;10533229;5;25.12.2008 00:00;;;;
2008;BEST PICTURE;Frost/Nixon;False;4369220;174768;25;05.12.2008 00:00;;;;
2008;BEST PICTURE;Milk;False;14594325;429244;34;26.11.2008 00:00;;;;
2008;BEST PICTURE;The Reader;False;1674727;83736;20;10.12.2008 00:00;;;;
2008;BEST PICTURE;Slumdog Millionaire;True;22227362;463070;48;12.11.2008 00:00;;;0,044;0,956
2009;BEST PICTURE;Avatar;False;283624210;21817246;13;18.12.2009 00:00;;;;
2009;BEST PICTURE;The Blind Side;False;196563318;4794227;41;20.11.2009 00:00;;;;
2009;BEST PICTURE;District 9;False;115646235;831987;139;14.08.2009 00:00;;;;
2009;BEST PICTURE;An Education;False;;;83;09.10.2009 00:00;;;;
2009;BEST PICTURE;The Hurt Locker;True;12671105;67399;188;26.06.2009 00:00;;;;
2009;BEST PICTURE;Inglourious Basterds;False;120540719;913187;132;21.08.2009 00:00;;;;
2009;BEST PICTURE;Precious: Based on the Novel 'Push' by Sapphire;False;;;;;;;;
2009;BEST PICTURE;A Serious Man;False;9098436;101093;90;02.10.2009 00:00;;;;
2009;BEST PICTURE;Up;False;290866563;1346604;216;29.05.2009 00:00;;;;
2009;BEST PICTURE;Up in the Air;False;33655213;1246489;27;04.12.2009 00:00;;;0,0031;0,9969
2010;BEST PICTURE;Black Swan;False;40866343;1459512;28;03.12.2010 00:00;;;;
2010;BEST PICTURE;The Fighter;False;39041794;1859133;21;10.12.2010 00:00;;;;
2010;BEST PICTURE;Inception;False;292558188;1741417;168;16.07.2010 00:00;;;;
2010;BEST PICTURE;The Kids Are All Right;False;20811365;118922;175;09.07.2010 00:00;;;;
2010;BEST PICTURE;The King's Speech;True;17674034;504972;35;26.11.2010 00:00;;;;
2010;BEST PICTURE;127 Hours;False;10203228;182200;56;05.11.2010 00:00;;;;
2010;BEST PICTURE;The Social Network;False;92876282;1020618;91;01.10.2010 00:00;;;;
2010;BEST PICTURE;Toy Story 3;False;410171027;2092709;196;18.06.2010 00:00;;;;
2010;BEST PICTURE;True Grit;False;70420123;7824458;9;22.12.2010 00:00;;;;
2010;BEST PICTURE;Winter's Bone;False;6243745;30757;203;11.06.2010 00:00;;;0,0645;0,9355
2011;BEST PICTURE;The Artist;True;4596579;127682;36;25.11.2011 00:00;;;;
2011;BEST PICTURE;The Descendants;False;38375031;852778;45;16.11.2011 00:00;;;;
2011;BEST PICTURE;Extremely Loud & Incredibly Close;False;267923;44653;6;25.12.2011 00:00;;;;
2011;BEST PICTURE;The Help;False;167094661;1168494;143;10.08.2011 00:00;;;;
2011;BEST PICTURE;Hugo;False;48623365;1279562;38;23.11.2011 00:00;;;;
2011;BEST PICTURE;Midnight in Paris;False;50899487;226219;225;20.05.2011 00:00;;;;
2011;BEST PICTURE;Moneyball;False;74896695;756532;99;23.09.2011 00:00;;;;
2011;BEST PICTURE;The Tree of Life;False;13228329;60680;218;27.05.2011 00:00;;;;
2011;BEST PICTURE;War Horse;False;36352197;6058699;6;25.12.2011 00:00;;;0,0211;0,9789
2012;BEST PICTURE;Amour;False;;;11;19.12.2012 00:00;;;;
2012;BEST PICTURE;Argo;True;108720920;1376214;79;12.10.2012 00:00;;;;
2012;BEST PICTURE;Beasts of the Southern Wild;False;12795746;68794;186;27.06.2012 00:00;;;;
2012;BEST PICTURE;Django Unchained;False;68605611;13721122;5;25.12.2012 00:00;;;;
2012;BEST PICTURE;Les Misérables;False;;;;;;;;
2012;BEST PICTURE;Life of Pi;False;85639816;2195892;39;21.11.2012 00:00;;;;
2012;BEST PICTURE;Lincoln;False;134189097;2631158;51;09.11.2012 00:00;;;;
2012;BEST PICTURE;Silver Linings Playbook;False;28458986;646795;44;16.11.2012 00:00;;;;
2012;BEST PICTURE;Zero Dark Thirty;False;1442732;131157;11;19.12.2012 00:00;;;0,1003;0,8997
2013;BEST PICTURE;American Hustle;False;67518524;3751029;18;13.12.2013 00:00;;;;
2013;BEST PICTURE;Captain Phillips;False;104638057;1291827;81;11.10.2013 00:00;;;;
2013;BEST PICTURE;Dallas Buyers Club;False;15847213;264120;60;01.11.2013 00:00;;;;
2013;BEST PICTURE;Gravity;False;254861229;2896150;88;04.10.2013 00:00;;;;
2013;BEST PICTURE;Her;False;;;;;;;;
2013;BEST PICTURE;Nebraska;False;6058098;131697;46;15.11.2013 00:00;;;;
2013;BEST PICTURE;Philomena;False;17312034;443898;39;22.11.2013 00:00;;;;
2013;BEST PICTURE;12 Years a Slave;True;37951371;512856;74;18.10.2013 00:00;;;;
2013;BEST PICTURE;The Wolf of Wall Street;False;41448935;6908155;6;25.12.2013 00:00;;;0,0742;0,9258
2014;BEST PICTURE;American Sniper;False;1329299;221549;6;25.12.2014 00:00;;;;
2014;BEST PICTURE;Birdman;True;24273045;323640;75;17.10.2014 00:00;;;;
2014;BEST PICTURE;Boyhood;False;22153916;128057;173;11.07.2014 00:00;;;;
2014;BEST PICTURE;The Grand Budapest Hotel;False;58973476;197235;299;07.03.2014 00:00;;;;
2014;BEST PICTURE;The Imitation Game;False;19936519;604136;33;28.11.2014 00:00;;;;
2014;BEST PICTURE;Selma;False;1203987;200664;6;25.12.2014 00:00;;;;
2014;BEST PICTURE;The Theory of Everything;False;23233800;430255;54;07.11.2014 00:00;;;;
2014;BEST PICTURE;Whiplash;False;;;82;10.10.2014 00:00;;;0,5357;0,4643
;;;;;;;;;;;
;;;;;;;;;;;Durchschnitt
;;;;;;;;;;;0,638
